Iban source,Amount,Transaction type,Company Name
RS48701363509936806005,468.21,invoice,Schultz  Satterfield and Ward
BR1000519320040559906090205G7,229.43,deposit,Hills  Jacobson and Boehm
SI72090843747383076,672.43,payment,Mraz Group
KW08KDND7U84455B48NWL0HVS24KEM,389.84,deposit,Wisoky  Hermann and Hodkiewicz
GL7448869540700378,206.34,invoice,Pouros and Sons
LU360042Y679814782R4,602.85,invoice,Kilback LLC
MR2996020073931800400067191,786.95,deposit,Ullrich - Christiansen
RO79LIRM091825271E27448Y,96.79,withdrawal,Welch LLC
AZ35893379005003760082007679,216.44,deposit,Deckow  Hickle and Mraz
IL757244380407618700761,400.88,withdrawal,Gulgowski - Davis
ME93756637160064613081,270.25,invoice,Ernser  Stracke and Yundt
MC128006600803L843R9N703775,186.86,invoice,Bartell - Lubowitz
GI38OQAB50516860769Z974,913.70,invoice,Harvey  Reinger and Wuckert
BE14006380055440,544.98,payment,Hartmann - Weimann
TN9470012970012790600295,244.07,payment,Rosenbaum  Leuschke and Roberts
BA123127343016702812,103.56,deposit,Monahan  Pagac and Kilback
AE506488005007068480010,516.37,invoice,Feeney  Bartell and Dach
MD59230464Q181157678DK44,511.39,withdrawal,Dietrich  Larkin and Reynolds
MT59CJRO01004W8H5U4C7287KSZK466,240.00,withdrawal,Zemlak LLC
FR6908020832522825Q36354W77,276.13,deposit,Koss Group
MU57DZMC4239180703790738086AGS,606.34,invoice,Jones and Sons
LB0410412U781YU78752V6013867,373.58,invoice,Effertz - Zulauf
GE26750057066042034018,796.51,payment,Lind  Waelchi and Murray
RS38410056202070048218,755.46,payment,Kling Inc
SM64C67222023398QV380Q2J804,781.42,invoice,McDermott - Herzog
LB1701085681590A749D900268Q2,75.16,payment,Abshire  Stokes and Fadel
MD5504G1I44Q7KN7A27Y6301,109.44,payment,Russel  West and Rodriguez
HR3400104846208801648,74.25,invoice,Wisoky - Torp
FI6305549432705982,472.59,withdrawal,Armstrong - Metz
RS90639060903122560753,813.87,deposit,Graham Group
GR15870259414K172G152145277,834.25,deposit,Hammes  Anderson and Tremblay
AD681200107336548X80817W,307.83,payment,Herzog Group
LT972186880502305548,764.98,payment,Gibson LLC
KW42ZPVI4B708O0J3C1832GMG74148,706.20,payment,Shields  Ferry and Carroll
MR2085100404930668644000296,777.35,deposit,Schneider  Auer and Fahey
ES1111804095446080018966,767.69,withdrawal,Thompson - Zboncak
BG76HXLL840061L6H97890,994.59,payment,Runte  Macejkovic and Kunze
BG55EIWL00135558E24L07,820.43,withdrawal,Stokes Inc
IL350038518500420917439,40.35,payment,Torp Group
LB7890631665575113DF384C25J3,228.52,payment,Cruickshank - Beier
KZ980664057581819567,7.94,deposit,Medhurst LLC
GR397080615R786F638132647D8,819.40,invoice,Tillman  Hoppe and Wilderman
RS81886810200792400645,103.44,invoice,Morissette Inc
LT492307200106001464,974.93,payment,Treutel - Towne
IE954V6438100169003450,686.97,deposit,Boyer LLC
SM27D3750840670707398061638,716.53,withdrawal,Murphy - Schultz
NO3764822050082,658.20,deposit,Bailey LLC
MT17WPWE61140M73715303753V38774,362.13,deposit,Spencer Group
SK8429698005180019012059,218.16,invoice,Lindgren  Quitzon and Keebler
AE583260807008010100103,10.29,withdrawal,Hane  Ernser and Hermiston
PL28035400480496007042079990,613.31,withdrawal,Schneider  Cartwright and O'Keefe
VG027NO86604634364587261,866.10,withdrawal,Bins Group
GT081780E9982B8745346D5P35V4,39.15,deposit,Moen  Ankunding and Konopelski
SE6192509523908784700600,435.64,invoice,DuBuque Group
GE07905390024065800540,471.39,deposit,Halvorson  Jacobs and Mayert
TL930250030260596277937,751.46,deposit,Waters Group
LI8015074V08455P31741,634.84,withdrawal,Stark - Eichmann
BG91FQTY10503748X296Y0,49.77,deposit,Collier  Frami and O'Reilly
SM96L200648873159N4897F73H3,284.56,deposit,Dickens and Sons
BR3909851000570023002001590YF,595.26,payment,Emmerich  Oberbrunner and Walsh
MK54473911825750248,976.50,withdrawal,Price Inc
TL323285290051004050021,199.02,deposit,Pollich  Armstrong and Douglas
XK974005952300600751,687.84,deposit,Hills - Deckow
TR392423977659T3868665B275,987.56,deposit,Klocko - Harris
AD7705705160651WT5LV12ZR,286.08,withdrawal,Pouros Group
JO54YEAL0820005003709944066769,676.93,withdrawal,Runolfsdottir - Thompson
PK63AE750169396850030049,730.38,invoice,Kling Inc
AZ660XNS00034173100538003054,701.52,invoice,Stracke  Leuschke and Bins
HU20023010855570142605163006,132.22,deposit,Cronin Group
SK3211428081280016662738,151.69,withdrawal,Heaney and Sons
XK567860200040060505,739.78,invoice,Olson - Orn
BG48WGOE259008128048Q1,570.35,withdrawal,Mante Group
GE09O60003824000010029,420.75,withdrawal,Tillman  Hettinger and Bechtelar
CH68979011503LF757745,114.60,withdrawal,Ullrich Group
EE345981100077768068,749.66,deposit,Auer and Sons
CZ9000510280430742007544,236.11,payment,Ankunding and Sons
HU47729002953434700106130034,516.20,withdrawal,Schinner  Gerlach and Lehner
PL33200530048003071003024021,45.41,invoice,McKenzie - Beer
GE75039005920401054319,977.31,invoice,Goodwin  Friesen and McClure
SK6530902007610650019196,643.51,deposit,Metz Inc
KZ362719919585229998,990.16,invoice,Kassulke  Greenholt and Conroy
BE28476996003273,315.19,payment,Hagenes - Strosin
KZ534264472581674088,842.20,deposit,Bernier Group
HR5230120818600530067,157.53,deposit,Leuschke  Armstrong and Kertzmann
GT822B55997P591008B5JGB73770,239.86,invoice,Reilly  Berge and Bosco
LI769349086K8611L210Q,705.99,invoice,Franecki  Jast and Herzog
MU77ZONC0059450307280020675VQC,135.09,withdrawal,Heller  Klein and Quitzon
BH54BVIN640X7354069436,173.05,invoice,Abernathy - Lebsack
QA46DVUFB82371981C44488923A73,75.46,payment,Kovacek - Nolan
LI5100576B0B508393236,185.68,withdrawal,Deckow and Sons
AZ92739913030803100543461007,71.20,withdrawal,Kessler  Schaden and Greenholt
MT16JJBM0029857Q2151A46783624A6,598.06,deposit,Brakus and Sons
GT876329T41Q6H1125UY5740802M,258.70,deposit,Kemmer Group
TR90264663CA226I7734400Q80,991.49,deposit,Ward - Welch
HR7467953193599387935,779.65,deposit,Boehm  Runolfsson and Davis
VG02Y1980039490052500451,606.59,invoice,Schulist LLC
AL359040768924777158H51CF387,465.18,invoice,Prosacco Inc
KW14FLOY15M43A99774S37738SA2K1,548.00,invoice,Ryan  Conn and Metz
MC040038008666489H76L562481,632.39,invoice,Ziemann Group
CR6507900041004700379,749.12,withdrawal,Lesch Inc
IT30E87002905535140PGD573T8,395.29,payment,Hegmann  Dietrich and Stracke
LU160326V7M4Y8213344,653.71,payment,Brown - Davis
MR2937003010525742045057905,673.85,payment,Erdman and Sons
MT72ZYYK5077353984M8132T2680761,598.29,deposit,Stoltenberg  Lemke and Conroy
FR7573048003185X20264760406,111.34,invoice,Torp  Keeling and Hane
LV10MJMF09D94KIT3N11Q,240.71,payment,Larkin Group
MT80WZZB310066129924Q913G002868,748.08,payment,McLaughlin  Botsford and Russel
IE76201759624020075219,606.04,withdrawal,Schiller  Willms and Bahringer
MK420051616341A0530,618.30,payment,Kautzer  Deckow and Zulauf
ES8350063400704160088292,526.61,invoice,Bergnaum Inc
DK8170010003853007,609.83,invoice,Bayer  Rath and Beier
ES4540215282166520605002,203.92,withdrawal,Ondricka LLC
RS37008005880760899030,114.11,invoice,Hegmann LLC
QA08CYOP33893126Z1NB039533391,251.24,deposit,Johnson  Torp and Fadel
BE53007320047012,28.03,deposit,Thiel - Pfannerstill
EE683912465475002977,127.66,payment,Rippin - Blick
AE164580049019000900166,453.25,invoice,Auer - Quigley
SA96260255D92D8D6U1932G8,544.31,payment,Volkman Group
KW24LBUC589T20J00P5813VL4996Q8,523.08,withdrawal,Monahan  Becker and Wisoky
SA3089323T7396779576I1I1,210.22,withdrawal,Deckow  Powlowski and Klocko
HR8770151644200810038,283.31,withdrawal,Terry - Walker
PK73955M2464239378599010,875.77,payment,Harvey - Cassin
BR0900019808090395006170061QU,651.14,withdrawal,Jast - Davis
BR6422407019006360079700014L9,350.70,payment,Harvey  Hauck and Kihn
SA0522181N81E448T116CU87,800.01,payment,Swaniawski  Lowe and Runolfsdottir
LT437800680600108059,144.57,payment,Gulgowski  O'Hara and Dietrich
MK640405F7074770087,983.43,payment,Moen - Vandervort
BG36RDZZ053368W4V6101F,593.20,invoice,Zulauf Group
DK3829370605500932,204.42,invoice,Kunde  Kreiger and Kassulke
AD5772300373JA4010I83760,782.05,invoice,Goyette - Sipes
FO8410038006002332,134.38,withdrawal,Heidenreich Inc
SK1503400310108063709749,744.39,invoice,Gislason Inc
IE86Q09H80068600700378,849.67,payment,Morar and Sons
GL9289528600344034,240.52,payment,Mann  Schmidt and Simonis
MK5983252V59G0Y5371,382.77,deposit,Schulist  VonRueden and Gorczany
CH9820076649379JW9888,377.80,payment,Brown Group
DE41204010642570600099,302.36,invoice,Vandervort  Welch and Stoltenberg
GR61009998585I954U2144714R2,516.81,deposit,Little and Sons
CR1234723009050860425,461.10,withdrawal,Friesen  Fahey and Gerlach
LI4150935434W80T70OB6,553.74,payment,Pagac  Waters and Botsford
IL781215393009302150205,97.80,withdrawal,Wuckert  Berge and Kessler
BR4671085009304426026001770C1,65.28,deposit,Balistreri Inc
GR490889481211089252S850667,346.94,deposit,Bayer - Kilback
MC298274627593W9WG254336508,640.37,withdrawal,Kutch  Altenwerth and Greenholt
IL802043559300590060070,917.79,payment,Dicki  Howe and Schmitt
CY8731281233558232I72C1K9010,422.46,payment,Schoen - Emmerich
SK8060012852384768004004,722.98,invoice,Johns - Schinner
IS106505754009020001006155,212.60,deposit,Hickle  Raynor and Hackett
GR3500305149133P1N07W337J80,299.19,payment,Von Group
AT306534768480067893,104.38,invoice,Greenholt and Sons
PS08318I900960414004192300111,31.19,payment,Doyle  O'Reilly and Spencer
LB694747172TG3U768592P60I528,718.89,invoice,DuBuque - Legros
LT405941804003700779,145.02,withdrawal,Wintheiser  Carter and Cassin
CZ1780180609820067916030,103.89,withdrawal,Thompson LLC
XK295327039008500499,866.60,deposit,Rath Inc
MR3107007100787791008895796,733.08,withdrawal,Herman - Mann
XK782007363810369592,614.58,deposit,Murray  Gutmann and McGlynn
LV44AITC489741F0529V0,873.37,invoice,Schneider  Haag and Ruecker
RO18CHAY7390864805M990U2,898.64,deposit,Parisian Group
TN5042922802047090156895,558.17,payment,Kshlerin Inc
LV18TFBA93RD49I76QC15,770.40,deposit,O'Keefe  Tillman and Braun
XK360032009057505054,944.12,deposit,Olson  Heidenreich and Dare
BA375500970810006486,148.02,invoice,Renner - O'Hara
CZ8020399060300040341842,580.95,invoice,Lebsack  Halvorson and Emmerich
LI5747610526Q54OAF102,178.59,deposit,Dare - Hyatt
MR2018006795887080689708670,576.72,payment,Okuneva - Fadel
LB32007223482WQ76000936BR651,524.25,invoice,Kohler  Lehner and Toy
CZ8990290540115700900017,387.67,withdrawal,Waelchi  Berge and Bechtelar
BA167032430054340061,704.74,withdrawal,Bogan - Kuvalis
SI80500364002990048,704.59,payment,D'Amore and Sons
SI62070790004009001,28.71,payment,Marks Group
CR3906075060707680029,269.73,deposit,Ortiz  Jacobson and Leffler
LV86QVHLQQ28U68D555IF,426.81,payment,Stracke - McLaughlin
PL64791023259293930061200182,420.06,withdrawal,Welch - Simonis
LU937445617G18375857,894.42,deposit,Kohler  Walter and Feest
CH606008048ND8J0U2209,740.19,invoice,Roob - Thiel
MU98EFFM0322009034943380052UQY,422.57,withdrawal,Fahey - McDermott
GE31830060394003157819,720.42,payment,Volkman  Rogahn and Volkman
HU85904009438020058164198392,288.91,withdrawal,West - Senger
CY440060105243218201131564Q3,724.19,invoice,Grady  Shields and Lebsack
SM42C3390300895T79531U08Q8S,15.02,deposit,Ziemann - Franecki
MD41Y084F4717P0UD12G8489,1.99,payment,Runolfsson - Goyette
IL230040070070070503479,763.87,payment,Walter - Pacocha
BH36DWFU4970U10322194H,998.10,payment,Jerde Group
SI90721526004600388,708.84,payment,Johns Group
BA693300405695300506,314.52,payment,Von - Marks
CR3014797002002007854,594.24,payment,Wisozk  Shanahan and Marks
SA9400CZ2Q875O9Y05M61ZF1,689.20,invoice,Casper - Maggio
CH9734996IY3MN1383497,681.04,withdrawal,Corwin - Reinger
AT362820850200400362,847.94,deposit,Quitzon and Sons
MU64RKQJ1687003238080854129PCJ,769.19,payment,Bergnaum  Kemmer and Smith
LB1470031H39843687S371PT4306,683.32,payment,Wilkinson - Beatty
BH46DTDGP309X1952J2800,281.99,deposit,Labadie Inc
PK8712890169700476007982,247.87,invoice,Abernathy Group
MC2300082719799RV9F74115I96,707.90,invoice,Block - Runolfsdottir
CY715004639792880257769QX813,187.21,deposit,Douglas - Padberg
AT720088652012006086,252.46,withdrawal,Gerhold  Cummings and Strosin
BE30412470600742,464.01,payment,Blanda - Koch
GL9391602701000434,572.39,invoice,Abbott - Bayer
ME60007003845045800542,650.63,payment,Schultz Inc
PK20S3654560556740884640,675.18,deposit,Miller - Jacobson
SM98E6522050669129454032946,969.32,deposit,Heaney - Koss
MC138633013009O85050O74K215,167.79,payment,Heaney  Schowalter and Powlowski
MU27HRIB3499010300810020130AFH,958.87,payment,Nikolaus  Feeney and Yundt
TR0307429609698242101H2LN4,698.55,deposit,Marquardt  Lesch and Thiel
LB7860221279390R41181WR55776,242.83,payment,Emmerich - Gibson
BG37SANM41011873465LB9,46.97,deposit,Kessler - Spinka
PS85U074832579365085870300882,685.53,withdrawal,Marquardt  Lueilwitz and Leannon
EE540834967002205018,765.04,withdrawal,MacGyver  Balistreri and Rice
MD84472W716107Y935227X86,516.66,payment,Jast  Graham and Spinka
IS957774039605008496006038,880.79,deposit,Swift  Rosenbaum and Klein
SM62S7435303233002C430261R9,337.85,invoice,Zemlak  Torphy and Bosco
MR2006500841490085902006226,727.40,withdrawal,Davis  Nicolas and Hyatt
FI6400310494763397,326.76,deposit,Lebsack  Cremin and Herzog
AE548510300090014700888,990.90,invoice,Kulas  Lowe and Schmitt
MK81687V27YW4015450,483.16,withdrawal,Okuneva Group
CZ9661086860652237702491,111.39,withdrawal,Graham - Bahringer
ME38902995002008028744,634.64,invoice,Prohaska Inc
PT87002103160186003302545,764.24,invoice,Barton  Conn and Rosenbaum
BR3826100879004171275180013A0,904.19,invoice,Kovacek - Hauck
PS356671006000673471607750048,896.42,deposit,Carter - Barton
HU63004090080100920940173139,234.01,invoice,Crooks  Bartell and Marquardt
QA78SKNB2988685198981H2194652,511.74,payment,Johns Group
AZ18W60390870007820223283540,532.71,withdrawal,Koepp  Heaney and Towne
JO03CXIJ1289098020004286387049,296.31,deposit,Rau Inc
DE43050900614020283124,216.80,deposit,Little LLC
VG0344O84406100300080028,808.40,invoice,Jones Group
KW51KDXU2598213001U83089N6T2YL,129.58,deposit,Moore - Baumbach
AD3100672606503191979399,111.66,withdrawal,Kirlin  Parker and Koss
SI23400439010004005,376.14,withdrawal,Flatley - Mraz
GL2987596009003990,927.60,invoice,Jast  Witting and Bruen
IS229093639870485200861828,953.80,deposit,Mayer - Boehm
LT807531000958091326,342.53,withdrawal,Medhurst  Rempel and Wunsch
KZ680600N62908864875,643.19,withdrawal,Bernhard  Stracke and McLaughlin
DK4949057004094177,220.11,payment,Schaefer - Beier
CH69034207743S2L9716W,214.60,withdrawal,Balistreri  Heller and Mertz
NO2800300020051,661.26,payment,Deckow - Streich
JO02TGAY0755005300304780407007,222.52,invoice,Hamill - Bode
GE46369420250034043006,527.32,invoice,Balistreri LLC
MC042281530066G1Y369Y213W20,938.33,payment,Reynolds LLC
BG40YJCI5060013213M399,442.36,invoice,Kuphal  Watsica and Fisher
PL10600831775091208020489951,352.67,payment,Russel  Hudson and Cremin
MR7063607066546174056200569,752.11,payment,Terry  McLaughlin and Windler
IE60W35962885184400137,853.83,deposit,Dietrich and Sons
LI2703001H63597948260,996.01,payment,Konopelski and Sons
GI89WZST4K18ZE0906H023N,774.26,invoice,Reichert - Larkin
BG74BBLO695014765O256X,62.57,deposit,Ankunding Inc
TN5300837040159401800041,614.83,withdrawal,D'Amore  Kuhn and Borer
IT16E0958530016133163U1VL35,852.14,payment,Morar - Reilly
TR5760100I48Z3100657896XJ5,799.60,withdrawal,Hegmann  Cronin and Ebert
SK1610024458893310024311,52.08,deposit,Ferry Group
IL323007862494896190567,571.08,deposit,Boyle  Schoen and Moore
CZ3730603003040036900833,387.12,withdrawal,Pouros Group
GR387040758442YN0153H92151D,649.67,invoice,Walsh  Cronin and Torp
SE2408483010780108550004,647.82,invoice,Abernathy  Hamill and Abernathy
LU860741005930780256,714.53,invoice,Dietrich  Purdy and Heathcote
AE493750267161100220094,89.78,payment,Kiehn  Dach and Kuhlman
HU17240530094029520060020073,832.13,payment,Keeling - Bernhard
MC9100199008243957640384482,978.52,invoice,Spinka - Donnelly
IE11D44383990570497192,881.98,payment,Hane  Lesch and Hayes
BH11DCJJ1CP1B4009LD4S9,174.06,deposit,Pouros  Crist and Fadel
IS191669026301447470454245,752.09,payment,Cassin - Volkman
MD5767TA00205879901811J5,56.87,deposit,Rolfson Inc
GL1680171017030157,434.71,withdrawal,Bode and Sons
MC580508940880604602D295187,263.32,payment,Emmerich LLC
MC7226480048250409133741A35,923.13,withdrawal,Collier LLC
VG82W84U1345563008000494,146.51,invoice,Wunsch - Douglas
LB2719689700120K38A54ITSSH1Z,753.06,withdrawal,Harris - Bogisich
SM72D0800734766Z9714152S989,286.93,deposit,White - McClure
LI920812562E800728353,981.34,invoice,Stiedemann - Feil
JO29RJAL4010020091403225903386,560.36,payment,Bernhard - Hermiston
SI10376016950014423,559.73,payment,Aufderhar  Nolan and Yundt
CZ3560040800310050290089,543.21,payment,Emard Inc
ME78394189752093095011,381.47,withdrawal,Leffler  Wintheiser and Bartell
TR235105880P75994H60639675,874.17,invoice,Donnelly LLC
FI0503600563860062,397.69,payment,Boyle  Schuster and Windler
MT14MKOL99131276027044P5T12W9U0,303.24,payment,Kovacek - Nicolas
CH4849141V4V276054K01,511.49,payment,Friesen - Parisian
HR3696701288063870063,722.47,payment,Nitzsche and Sons
PS6425A9460900406809470220003,627.62,withdrawal,Rath  Parker and Weissnat
GI44AKNQ34262605LGRG602,34.50,payment,Gorczany LLC
NO6803534718004,166.76,invoice,Smith  Aufderhar and Douglas
BE92754505004083,491.00,invoice,Hane Group
DE12300058072310180891,138.52,deposit,Lynch - VonRueden
PT40001500597029145002399,761.14,withdrawal,Sporer  Moen and Ullrich
JO84VDKS6004600040080013700097,368.06,deposit,Buckridge  Russel and Barton
GE38TJ0902900810543005,33.83,deposit,Wolff - Klein
AL65321176325S634670M9256Y18,75.74,withdrawal,Rodriguez  Kub and Pollich
IS655046787024008624270889,622.01,invoice,Renner  Brekke and Medhurst
LI0684329076Y79T69V51,881.83,payment,Walter  Halvorson and Cormier
FO4200389004032060,684.63,payment,Schaden  Hessel and Ryan
HR2370181446067093386,579.14,deposit,Toy - Schaden
LT730308300100127717,927.18,withdrawal,Leuschke LLC
BA853800760630894433,167.37,payment,Klein LLC
FI2513007300607008,603.57,withdrawal,Kling LLC
DO57RSFP97502005400630464004,344.65,withdrawal,Wiegand Group
SM63R20719153659690501165P9,697.89,withdrawal,Abbott - Jacobson
DK5316986060600231,656.59,invoice,Champlin Group
IL761800860008080367427,290.16,deposit,Berge LLC
DK1376110609123062,645.28,invoice,Rempel  Gleason and Stehr
CR3745007000600805076,789.74,withdrawal,Stroman - Lang
SK1986205107132750095503,92.02,invoice,Reichert  Russel and MacGyver
QA21AYSH372S46W47X810PI41737X,272.46,invoice,Bahringer - Fadel
BH58UILV2S2450392R5L46,973.17,deposit,Douglas Inc
CH759036792F093310943,371.82,payment,Jakubowski Group
PT29614008053003230040007,19.20,deposit,Lindgren - Hegmann
CY23950707343L720073X0700Y6B,929.58,withdrawal,Lehner - Labadie
PS91A216558047910520309107042,529.43,withdrawal,Murazik Inc
BH19DWDK50804E66395T0A,132.54,invoice,Zemlak  Nikolaus and Walker
IS718099799000243007056020,586.52,deposit,Dare - Schuster
BR1000905808958450575008392W4,935.30,withdrawal,Bode - Murazik
FR287009249014639H6QI64R042,336.24,invoice,Glover Group
GR4922745078D31N56790J16982,717.00,payment,Kemmer  Conn and Mohr
BR5895009500978483109096878S3,879.19,invoice,Hauck - Murphy
RO39XKCT5F20Z01V1534C2S0,965.61,invoice,Herzog Group
CY2920249996105008WL0U7B412F,335.32,invoice,Gusikowski - Gorczany
DK1200246944600830,494.42,withdrawal,Kunde  Pagac and Sporer
IS060844640029014450990080,313.23,withdrawal,Swift - Lindgren
AL470068226140T1T94065912374,651.75,invoice,Larkin LLC
NO1801677024083,439.04,withdrawal,Langosh - Mohr
AL4163422310K701435216609I91,311.62,withdrawal,Cruickshank Inc
ES7500472030014007185174,317.41,deposit,Harris Group
DO46EAHR55001005230809266009,292.71,deposit,Orn LLC
HU87906960066008248002160297,983.80,payment,Goodwin - Hills
GR530083281O636E62VAD5S606W,456.99,payment,Macejkovic - Roob
AZ37H76Y53516276000415009702,641.90,withdrawal,Willms - Gutmann
DK4589665882600480,466.13,deposit,Kuvalis - Quitzon
AL797008005631896194L6K61731,806.13,withdrawal,Feest - Adams
SA104957MH10468585687BY0,39.50,deposit,Stamm and Sons
AT485500862505736004,638.91,deposit,Olson and Sons
LU6827429A7C6IY39870,35.21,deposit,Koss LLC
MU06UCQK0031016900255605236NRS,886.54,invoice,Kozey and Sons
BA927073750041408758,400.61,deposit,Wisoky - Lesch
IE14898Y53548890940031,153.47,payment,Ryan  Rath and Kilback
CH6460376466T82678T60,899.65,withdrawal,Runte Group
KZ97846849034283P61T,728.32,withdrawal,Stoltenberg - Kuphal
CR8818247035295983166,651.00,payment,O'Reilly  Nader and Wunsch
MC6680600839513380239086Q14,527.40,withdrawal,Sporer - Upton
TN6802033951750200528788,719.98,deposit,Gleichner - Crist
XK730802066602850621,933.92,payment,Cormier - Runolfsdottir
CY7535006771310880890A957469,479.79,withdrawal,Ferry  Pacocha and Mann
MD4360142T266509683Z5O76,495.32,withdrawal,Murphy - Bradtke
GR4244858700157398T593099GT,642.55,payment,DuBuque  Kiehn and Wehner
MK41333010443231562,669.26,payment,Boyle - Hartmann
GE33837842099000535006,39.54,invoice,Ondricka Inc
NL92UMAB3627800107,287.80,deposit,Homenick Group
AZ48551300830007740020802435,700.53,deposit,Erdman - Zemlak
LU540078M6116H302109,842.67,withdrawal,Morissette and Sons
LU49680O3W823E710070,811.89,invoice,Hahn  Batz and Thompson
IT95E010740047869W4852S3418,18.39,payment,Boyer Group
TL079500210084185409084,940.07,invoice,Toy Inc
AD31005604018964995X6JK2,772.15,deposit,Rau - Stracke
GI85PYFJ31J64O1QIZL7720,397.63,payment,Bashirian - Roberts
IS509007401030600206345122,387.70,invoice,Ledner - Barton
DK2304425232564003,251.00,deposit,Runolfsson - Langosh
PT11600700950008314819465,595.54,deposit,Schmidt - Conn
SE1796857615198806080127,614.08,withdrawal,Stroman - Brakus
TN7820960010078492164252,413.28,withdrawal,Kreiger LLC
DK1570326100579029,361.05,payment,Kuhlman  Halvorson and Hermiston
MU86TZFZ0082090089125004110VZE,946.73,invoice,Smitham and Sons
SI89267793826528008,757.25,invoice,Blanda  Watsica and Graham
BR5204006072005140500909316QS,974.52,payment,Tremblay - Maggio
BA035210037109004541,170.85,withdrawal,Mertz - Upton
IE45353S39827209004064,927.98,payment,Daugherty LLC
GE56964060604440039474,916.87,deposit,Steuber - Bernier
AZ8808N136033002324518801907,818.96,withdrawal,Hickle - Hyatt
DO18XJBW00200600900309010096,779.76,payment,Hand  Corwin and Kihn
GR683700905968U7U5M5786D464,998.96,deposit,Beier Inc
IE5031P370467205050327,847.85,withdrawal,Dicki - Stanton
AD220773375457280B221646,441.29,payment,Kerluke  Powlowski and Leannon
MU88EHSP0066020300704009047IRA,832.64,invoice,Weissnat  Boyer and Spencer
ES4087862006270972199120,672.25,invoice,Block  McLaughlin and Mraz
CR5414557003074106005,748.95,invoice,Sauer  Braun and Carroll
FO6610077009893455,673.29,withdrawal,Moen  Graham and Hilpert
PT18022007760876991060515,79.68,payment,Wisoky - Wehner
DK6722574203900826,125.99,deposit,Witting - Metz
BR3000722090540535006006546K4,109.30,withdrawal,Schulist  Ankunding and DuBuque
MU70PVLE7959806494303700545SLR,541.87,withdrawal,Mertz LLC
TR703157532X4336664KV88117,401.54,withdrawal,Gorczany Group
GE79293217008770560281,240.39,invoice,Monahan  Schuppe and O'Connell
IE08741358000104957642,775.54,invoice,Harris Group
PS43314I400737094067008708395,936.28,withdrawal,Blick - Wisozk
NO9560940812773,297.32,invoice,Senger - Bogan
RS73059005084050104435,313.86,withdrawal,Walsh  Schroeder and Jast
NL50EERR2190041813,186.31,withdrawal,Breitenberg Group
LT120600357527604372,340.17,deposit,Kirlin - Bergstrom
FI1500433850572005,347.01,invoice,Wolf Inc
GL4888166805400828,282.08,deposit,Bode - Torphy
AL937701530683068945468A715X,334.70,invoice,Aufderhar and Sons
BA529547989609589206,120.44,payment,Kautzer - Friesen
GI33XKVJJ20745004429345,860.12,deposit,Kuhic - Hartmann
FR8680405341883078195W02J56,257.55,invoice,Runolfsson - Okuneva
PK393Y4Z4008048005040089,333.85,invoice,Hahn  Spencer and Krajcik
